回答ID, 企画ID, 団体名, 主体としているキャンパス, 団体の区分, 活動内容, 活動日, 活動場所, 部員数, 部費, ひとこと, キャッチコピー, 年間日程
1011, 2011, アナログゲーム研究会「Tabletop Tribe」, 野田, 文化系, ボードゲーム、カードゲーム、TRPGなどをプレイ。ゲーム会開催、ゲーム分析、オリジナルゲーム制作(有志)。, 毎週金曜 18:00～, 講義棟 K603、部室棟, 50名（男子38名、女子12名）, 1000円/年 (新規ゲーム購入費など), ボドゲ、カードゲーム好き集まれ！初心者も経験者も歓迎。軽いゲームから重ゲーまで幅広く。コミュニケーションツールとしても最高！一緒に卓を囲みませんか？, サイコロ振れば、仲間ができる。, 4月:新歓ゲーム体験会 5月:ジャンル別ゲーム紹介会 7月:前期お気に入りゲーム大会 8月:夏合宿(ゲーム漬け) 9月:TRPGセッション体験会 11月:理大祭(フリープレイコーナー) 12月:年末ゲーム大会＆持ち寄り会 2月:オリジナルゲーム試遊会(有志)
1012, 2012, ストリートダンスサークル「Beat Jammers」, 野田, 運動系, HipHop,  Locking,  Pop,  Houseなど様々なジャンルの練習。イベント出演、学内発表会開催。, 週2回 (火曜・土曜) 18:00～, 部室棟前広場、トレーニング棟、外部スタジオ(不定期), 65名（男子30名、女子35名）, 8000円/年 + イベント出演費別途, 初心者大歓迎！経験者ももちろんOK！基礎から丁寧に教えます。音楽に合わせて体を動かす楽しさを知ってほしい！ショーケースを一緒に作り上げよう！, 踊り出せ、本能のままに！, 4月:新歓体験レッスン＆ショーケース 5月:ジャンル別体験会 7月:前期成果発表会(学内) 9月:夏合宿(集中練習＆振り作り) 10月:地域イベント出演(予定) 11月:理大祭ステージ 12月:クリスマスダンスバトル 3月:引退公演
1013, 2013, 鉄道ファンクラブ「RailNavi」, 野田, 文化系, 鉄道模型(Nゲージ)の運転会、ジオラマ制作、鉄道写真撮影会、乗り鉄・撮り鉄旅行企画。, 月1回 土曜 部会 + 不定期 撮影会・旅行, 部室棟N205(模型部屋)、講義棟、各地の鉄道路線, 30名（男子28名、女子2名）, 6000円/年 (模型維持費、部室代), 鉄道好き集まれ！模型、写真、乗り、時刻表…どんなジャンルでもOK。知識や経験は問いません。マニアックな話から旅行計画まで、一緒に鉄道の世界を探求しよう！, 線路は続くよ、どこまでも！, 4月:新歓Nゲージ運転会 5月:撮影会(近郊私鉄) 7月:前期活動報告会 8月:夏合宿(乗り鉄・撮り鉄旅行) 10月:ジオラマ制作ワークショップ 11月:理大祭(Nゲージ展示・運転体験) 12月:年末模型運転会 2月:鉄道博物館見学(有志) 3月:春の旅行企画
1014, 2014, 演劇ユニット「Stage Canvas」, 野田, 演技系, 年2-3回の演劇公演に向けた稽古。発声、身体表現、脚本読解、舞台美術・音響・照明の制作も。, 週2-3回 平日放課後 (公演前は増加), 講義棟、トレーニング棟、小ホール, 20名（男子8名、女子12名）, 3000円/年 + 公演費別途(役者/スタッフで変動), 役者希望も裏方希望も大歓迎！未経験者OK。一つの舞台を全員で創り上げる達成感を味わいませんか？表現することが好きな人、モノづくりが好きな人、待ってます！, スポットライトの下で、最高の瞬間を。, 4月:新歓ワークショップ＆説明会 5月:基礎稽古開始 7月:夏公演 8月:公演反省会＆次回作企画 10月:秋(理大祭)公演稽古開始 11月:理大祭公演 12月:新人公演企画 2月:春公演稽古開始 3月:春公演
1015, 2015, 合唱団「Cantabile」, 野田, 音楽系, 混声合唱の練習。学内演奏会、地域の合唱祭への参加。ポップスからクラシックまで幅広く。, 毎週月曜・金曜 18:00～, 音楽練習室、講義棟, 38名（男子15名、女子23名）, 5000円/年 (楽譜代など), 歌うことが好きな人、ハーモニーを楽しみたい人、集まれ！楽譜が読めなくても大丈夫。経験豊かな指揮者が指導します。一緒に美しい歌声を響かせましょう！, 心を一つに、歌声を届けよう。, 4月:新歓ミニコンサート＆体験練習 5月:新歓合宿 7月:サマーコンサート 9月:集中練習期間 10月:地域合唱祭参加 11月:理大祭ステージ 12月:クリスマスコンサート 3月:定期演奏会
1016, 2016, ボランティアネットワーク「Link Up」, ３キャンパス合同, 文化系, 地域の児童館での学習支援、イベント手伝い、清掃活動、献血呼びかけ、災害支援募金活動など。, 月1-2回の定例会 + 活動ごとに参加者を募集, オンライン、各キャンパス、活動場所(地域施設など), 50名（男子25名、女子25名）, 0円 (交通費などは自己負担の場合あり), 「何か人の役に立ちたい」その気持ちがあればOK！様々なボランティア活動に参加できます。無理なく、できる範囲で。新しい出会いや学びがたくさんあります。, 小さな行動が、大きな変化を生む。, 毎月 定例会 / 4月:新歓説明会＆活動紹介 5月:地域清掃活動参加 6月:児童館イベント補助 7月:献血推進キャンペーン 8月:夏休み学習支援ボランティア 10月:地域交流イベント手伝い 11月:理大祭(活動紹介・募金) 12月:福祉施設訪問(企画中) 2月:防災啓発イベント参加 3月:年度活動報告会
1017, 2017, 書道サークル「墨流会」, 野田, 文化系, 古典臨書、創作書道、篆刻、水墨画など。学内展示や文化祭での作品発表、パフォーマンス書道も。, 週1回 木曜 18:00～ (自由参加), 講義棟 K301 (書道教室), 22名（男子10名、女子12名）, 3000円/年 (紙・墨代補助), 初心者大歓迎！経験者ももちろんOK。筆を持つのが初めてでも大丈夫。道具は部室にあります。静かな空間で、自分と向き合う時間を作りませんか？, 一筆に、想いを込めて。, 4月:新歓体験入部 5月:基礎練習、道具説明会 7月:前期作品持ち寄り会 8月:夏合宿(集中制作) 10月:学内ミニ展示会 11月:理大祭(作品展示＆書道パフォーマンス) 12月:書き初め会 2月:篆刻体験 3月:卒業制作展
1018, 2018, 天文観測同好会「Cosmic Gazers」, 野田, 文化系, 月1回の観望会（大学or近郊）、天体写真撮影、プラネタリウム訪問、宇宙に関する勉強会・発表会。, 月1回 観望会(週末夜) + 月1回 勉強会(平日夜), 薬学部棟屋上(許可時)、近郊観測地、講義棟, 33名（男子23名、女子10名）, 2000円/年 (機材維持費など), 星や宇宙が好きな人、集まれ！知識ゼロでも大丈夫。望遠鏡の使い方から教えます。肉眼で見える星空から、望遠鏡で見る宇宙の神秘まで、一緒に感動を分かち合いましょう！, 無限の宇宙へ、好奇心の旅。, 4月:新歓観望会＆説明会 5月:天体望遠鏡操作講習会 7月:夏の星座勉強会 8月:ペルセウス座流星群観望会(合宿形式) 9月:プラネタリウム鑑賞会 10月:秋の観望会(月・惑星) 11月:理大祭(天体写真展示・観望会) 12月:ふたご座流星群観望会 1月:冬の星座勉強会 3月:春の観望会
1019, 2019, DIY・ものづくり工房「Craft Lab」, 野田, 文化系, 木工、電子工作、レザークラフト、3Dプリンター造形など、部員の興味に合わせて様々な「ものづくり」を楽しむ。, 週1回 活動日(水曜放課後) + 自主制作は随時, 部室棟W106 (工房スペース), 26名（男子19名、女子7名）, 4000円/年 (材料費・工具維持費), 作るのが好きな人、何か新しいことを始めたい人歓迎！初心者でもOK。工具の使い方から教えます。アイデアを形にする楽しさを一緒に味わいましょう！, アイデアを、手の中に。, 4月:新歓・工房見学＆体験会 5月:工具安全講習会 6月:木工基礎ワークショップ 7月:前期成果発表会 8月:夏休み集中制作期間 10月:電子工作入門 11月:理大祭(作品展示＆ワークショップ) 12月:レザークラフト小物作り 2月:3Dプリンター活用講座 3月:自由制作発表会
1020, 2020, 競技かるたサークル「あさぎりの会」, ３キャンパス合同, 文化系, 競技かるたの練習（試合形式、決まり字暗記など）。大会参加（希望者）、初心者向け講習会。, 週2回 (水曜・土曜) 練習会, 野田:研修センター和室 / 神楽坂:体育館柔道場(交代利用), 35名（男子15名、女子20名）, 4000円/年, 「ちはやふる」で興味を持った人、百人一首が好きな人、大歓迎！経験者も初心者も在籍。札の払い方から教えます。畳の上で熱い一瞬を！, 一瞬に懸ける、情熱。, 4月:新歓体験会＆デモンストレーション 5月:初心者講習会開始 7月:学内交流戦 8月:夏合宿(集中練習) 9月:大会参加(有志) 11月:理大祭(体験会・展示) 12月:年末かるた大会 2月:他大学交流練習会 3月:春合宿
1021, 2021, グルメ探求部「食べログ部」, 野田, 文化系, 柏・松戸・流山周辺の美味しいお店を開拓！ラーメン、カフェ、定食屋などジャンル問わず。月1食べ歩き会。, 月1回 土曜ランチ or ディナー + 不定期で遠征企画, 柏、松戸、流山、その他周辺地域のお店, 48名（男子28名、女子20名）, 食べ歩き実費のみ, 美味しいもの食べるのが好きな人、新しいお店を開拓したい人、集まれ！特別な活動はなし、ただひたすら美味しいものを求めて食べ歩きます。情報交換も活発！, 胃袋で繋がる、至福の探求。, 毎月テーマを決めて食べ歩き / 4月:新歓・柏駅周辺ランチ巡り 5月:松戸ラーメン街道攻略 6月:流山カフェ巡り 7月:夏だ！カレーだ！特集 8月:ちょっと遠征？(企画中) 10月:学食調査＆レポート 11月:理大祭周辺グルメマップ作成 12月:忘年会グルメツアー 2月:安くて旨い！B級グルメ探訪 3月:卒業記念・思い出の味巡り
1022, 2022, TRPGセッション会「Dice Rollers」, 野田, 文化系, TRPG(テーブルトークRPG)のセッションを定期的に開催。クトゥルフ、D&D、ソードワールドなどシステムは様々。, 週1-2回 平日夜 or 週末 (PL/GM募集形式), 講義棟 K403、オンライン(Discord/ココフォリア等), 36名（男子29名、女子7名）, 500円/年 (共有資料代など), 物語を創りたい人、キャラクターになりきりたい人、サイコロ振りたい人！初心者大歓迎。ルールブックなくても最初はOK。先輩GMが優しく導きます。一緒に冒険に出よう！, 君だけの物語が、ここにある。, 毎週 PL/GM募集でセッション開催 / 4月:新歓TRPG体験会(初心者向けシステム) 5月:システム紹介＆キャラ作成会 7月:短編シナリオ祭り 8月:夏休み集中セッション期間 10月:ハロウィン特別セッション 11月:理大祭(TRPG紹介＆体験卓) 12月:年末長編キャンペーン企画 2月:自作シナリオ発表会(有志)
1023, 2023, サイクリング同好会「Wind Pedal」, 野田, 運動系, 週末に関東近郊へのサイクリング。初心者向けポタリングから経験者向けロングライドまで。輪行も活用。, 月2-3回 土日どちらか + 長期休暇に遠征・合宿, 関東近郊のサイクリングロード、峠、観光地, 45名（男子35名、女子10名）, 2000円/年 (保険料、共有工具代) + 交通費・食費実費, 自転車好き集まれ！クロスバイクでもロードバイクでもOK。体力に合わせてコースを選べます。安全第一で、景色と風を楽しみましょう！メンテナンス講習会も。, ペダルを漕いで、まだ見ぬ景色へ。, 4月:新歓・江戸川サイクリングロードポタリング 5月:手賀沼一周ライド 6月:輪行で行く！鎌倉・江ノ島サイクリング 7月:グルメライド(目的地で美味しいもの！) 8月:夏合宿(長野or伊豆方面予定) 10月:紅葉ライド(筑波山or奥多摩) 11月:理大祭(活動紹介) 12月:走り納め＆忘年会ライド 2月:メンテナンス講習会 3月:春の房総半島ロングライド
1024, 2024, 軽音楽サークル「Sound Scape」, 野田, 音楽系, バンド結成、コピー・オリジナル曲練習。月1程度のライブハウスでのライブ、学内イベント出演。, バンド毎に週1-2回練習 + 月1ライブ(週末), 柏・松戸周辺の音楽スタジオ、ライブハウス、講義棟, 90名（男子60名、女子30名）, 入部費3000円 + 半期2000円 (スタジオ代補助等), 初心者・経験者不問！楽器やりたい人、歌いたい人、バンド組みたい人、大歓迎！ギター、ベース、ドラム、キーボード、ボーカル募集中！機材なくても相談乗ります！, 音で繋がる、最高の瞬間を！, 4月:新歓ライブ＆楽器体験会 5月:バンド結成会、楽器購入相談会 6月:新人ライブ 7月:夏ライブ 8月:夏合宿(練習＆BBQ) 9月:コピーバンド大会 10月:秋ライブ 11月:理大祭ライブ(複数ステージ) 12月:クリスマスライブ 2月:オリジナル曲発表ライブ 3月:卒業ライブ＆追いコン
1025, 2025, 美術部「Atelier Noda」, 野田, 文化系, 油絵、水彩、アクリル、デッサン、イラスト、立体造形など、ジャンル問わず自由に制作活動。学内展示、スケッチ会。, 週1回 活動日(木曜放課後) + 個人制作は随時, 美術室(専用部室)、講義棟、屋外(スケッチ), 28名（男子12名、女子16名）, 4000円/年 (画材共同購入、展示費用), 絵を描くのが好きな人、ものを作るのが好きな人、初心者も経験者も歓迎。自分のペースで制作できます。画材の相談もOK。一緒にアートな時間を過ごしませんか？, キャンバスに、自由を描こう。, 4月:新歓・アトリエ開放＆体験制作 5月:デッサン基礎講習会 6月:野外スケッチ会(理窓公園) 7月:前期作品講評会 8月:夏休み集中制作期間 10月:美術館見学ツアー(有志) 11月:理大祭作品展 12月:合同制作企画 2月:技法別ワークショップ(油絵/水彩など) 3月:学年末作品展
1026, 2026, フットサルクラブ「Futsal Vibes」, 野田, 運動系, 週1回、男女ミックスでゲーム中心のフットサル。基礎練習も少し。学内大会や地域リーグ参加(有志)。, 毎週月曜 19:00-21:00, 野田市総合公園体育館 or Cieloフットボールパーク柏, 58名（男子40名、女子18名）, 7000円/年 (体育館/コート代), 楽しくボール蹴りたい人、集まれ！サッカー・フットサル経験不問。女性も初心者も活躍中！運動不足解消にもぴったり。まずは体験参加から！, エンジョイ！フットサル！, 4月:新歓体験フットサル 5月:新歓BBQ 6月:学内フットサル大会 8月:夏合宿(フットサル＆レク) 10月:他大学交流試合(予定) 11月:理大祭(ミニゲームコーナー) 12月:蹴り納め＆忘年会 2月:初心者向けクリニック 3月:春の学内リーグ戦
1027, 2027, 将棋部「王将会」, 野田, 文化系, 部員同士の対局、棋譜研究、詰将棋。オンライン対局も。学生将棋大会への参加。, 週2回 (火曜・金曜) 18:00～, 講義棟 K609, 32名（男子30名、女子2名）, 1000円/年 (大会参加費補助など), 将棋が好きなら誰でも歓迎！初心者には駒の動かし方から教えます。強くなりたい人も、楽しく指したい人も。気軽に部室を覗いてみてください。, 盤上の宇宙へ、いざ対局！, 4月:新歓・初心者体験＆指導対局 5月:部内リーグ戦開始 7月:前期部内トーナメント 8月:夏合宿(将棋三昧) 9月:関東学生将棋大会参加(有志) 11月:理大祭(自由対局コーナー、プロ棋士指導対局企画検討) 12月:年末電王戦観戦会 2月:詰将棋解答選手権(部内) 3月:OB交流戦
1028, 2028, 野鳥観察サークル「Wing Watchers」, 野田, 文化系, 理窓公園や近隣の公園、河川敷での野鳥観察会。図鑑を使った同定練習、記録作成。, 月2回程度 土日午前 (観察会) + 不定期 勉強会, 理窓公園、江戸川河川敷、手賀沼、講義棟, 19名（男子11名、女子8名）, 1000円/年 (共有双眼鏡維持費など), 自然が好き、鳥が好き、散歩が好きな人歓迎！特別な知識や機材は不要です。双眼鏡貸し出しあり。身近な自然の中にいる可愛い鳥たちを一緒に見つけませんか？, 身近な自然に、小さな発見を。, 4月:新歓・理窓公園お散歩観察会 5月:春の渡り鳥観察(手賀沼) 6月:鳥の鳴き声聞き分け講座 7月:夏の水辺の鳥観察(江戸川) 8月:探鳥記録まとめ会 10月:秋の渡り鳥観察 11月:理大祭(写真・活動紹介展示) 12月:冬鳥観察会＆忘年会 2月:猛禽類を探そう(利根川) 3月:春のさえずり観察会
1029, 2029, 料理サークル「Gourmet Studio」, 野田, 文化系, 月1-2回、テーマを決めて料理実習。和食、洋食、中華、お菓子作りなど。作った料理は皆で試食。, 月1-2回 週末午後, 野田市内調理室のある公民館、大学家庭科室(許可時), 44名（男子18名、女子26名）, 毎回1000-1500円程度の材料費実費, 料理好き、食べるの好き、集まれ！初心者でも大丈夫。レシピを見ながら皆でワイワイ作ります。レパートリーを増やしたい人、料理仲間が欲しい人にも！, 作って楽しい、食べて美味しい！, 4月:新歓・簡単お菓子作り体験 5月:基本の和食(だし巻き卵・味噌汁) 6月:パスタ＆ピザ作り 7月:夏野菜たっぷりメニュー 8月:夏休みスペシャル(流しそうめんorBBQ) 10月:ハロウィンかぼちゃ料理 11月:理大祭(手作りお菓子販売検討) 12月:クリスマスケーキ作り 2月:バレンタインスイーツ 3月:世界の料理シリーズ(企画中)
1030, 2030, 競技ダンス部「Shall We Dance?」, 野田, 運動系, 社交ダンス(スタンダード＆ラテン)の練習。基礎ステップ、ルーティン練習。学連主催の大会出場。, 週3回 (月・水・土) 練習, 森戸記念体育館、外部ダンススタジオ, 25名（男子13名、女子12名）, 10000円/年 + ドレス・シューズ代別途, 新しい自分に出会えるかも！初心者大歓迎。ほとんどの部員が大学から始めています。姿勢が良くなり、表現力も身につきます。華やかな世界へ一歩踏み出しませんか？, フロアで輝け、情熱のステップ！, 4月:新歓デモンストレーション＆体験会 5月:基礎ステップ集中練習 7月:前期部内発表会 8月:夏合宿(集中練習) 9月:秋の学連競技会出場 11月:理大祭(ダンス発表) 12月:クリスマスダンスパーティー 2月:後期部内発表会 3月:春の学連競技会出場
1031, 2031, 落語研究会「笑遊亭」, 野田, 演技系, 古典落語・創作落語の稽古、発表会開催。寄席鑑賞会、落語に関する勉強会。, 週1回 稽古会(水曜放課後) + 月1回 発表会(週末), 講義棟和室、研修センター、地域の公民館, 15名（男子10名、女子5名）, 2000円/年, 落語が好き！人前で話すのが好き！面白いことが好き！な人募集。初心者大歓迎。発声から所作、噺の稽古まで丁寧に指導します。高座に上がってみませんか？, 笑う門には福来る！, 4月:新歓寄席＆説明会 5月:発声・基礎所作稽古開始 6月:初めての高座体験会 7月:前期定例発表会 8月:夏合宿(集中稽古＆寄席鑑賞) 10月:敬老会などでの慰問公演(依頼あれば) 11月:理大祭寄席 12月:年末大喜利大会 2月:新人発表会 3月:年度末謝恩寄席
1032, 2032, 手芸サークル「Needle & Thread」, 野田, 文化系, 編み物、刺繍、裁縫、アクセサリー作りなど、各自が好きな手芸を楽しむ。作品交換会、ハンドメイドマーケット出展(有志)。, 週1回 活動日(火曜放課後), 部室棟 E204, 29名（男子5名、女子24名）, 1000円/年 + 材料費は各自, 手芸好き、細かい作業が好きな人集まれ！初心者でも大丈夫。編み物からアクセサリーまで、作りたいものを自由に。教え合いながら、まったり活動しています。, 一針一針に、想いを込めて。, 4月:新歓・手芸体験ワークショップ(小物作り) 5月:編み物/刺繍 基礎講習 7月:前期作品持ち寄りお茶会 8月:夏休み自由制作期間 10月:アクセサリー作り講座 11月:理大祭(作品展示＆販売) 12月:クリスマスオーナメント作り 2月:レジンクラフト体験 3月:作品交換会
1033, 2033, マーダーミステリークラブ「Truth Seekers」, 野田, 文化系, マーダーミステリーゲームのプレイ会を定期的に開催。GM(ゲームマスター)練習会、シナリオレビュー会も。, 月2-3回 週末午後 or 平日夜 (公演形式), 講義棟、オンライン(Discord等), 30名（男子18名、女子12名）, 公演ごとに参加費徴収(500-1000円程度), 物語の登場人物になりきって、事件の真相を探る体験型推理ゲーム！初心者大歓迎。必要なのは好奇心と演技力(少し)。没入感とスリルを味わおう！, あなたは犯人か、探偵か。, 毎月 募集形式で公演開催 / 4月:新歓マーダーミステリー体験会(初心者向け) 5月:GM練習会 6月:人気シナリオ公演祭り 8月:夏休み長時間シナリオ挑戦会 10月:ハロウィンホラーミステリー特集 11月:理大祭(紹介ブース＆ミニ公演検討) 12月:年末オリジナルシナリオ発表会(有志GM) 2月:シナリオ持ち寄りレビュー会
1034, 2034, 競技プログラミング同好会「CP Hub」, 野田, 文化系, AtCoderなどのコンテスト参加、精進会(過去問解き)、アルゴリズム・データ構造勉強会。, 週1回 精進会(水曜夜) + コンテスト時は随時参加, 講義棟 K503、オンライン, 20名（男子19名、女子1名）, 0円, 競プロ強くなりたい人、一緒に頑張りましょう！レーティング不問。初心者向けの解説も行います。皆で教え合い、高め合う文化です。まずは気軽に見学を！, 目指せ、Highest Rating！, 毎週水曜 精進会 / AtCoder等のコンテストに各自・チームで参加 / 4月:新歓・競プロ紹介＆体験 5月:アルゴリズム基礎勉強会開始 7月:学内模擬コンテスト 8月:夏休み集中精進期間 11月:理大祭(活動紹介・パズル問題) 12月:年末チーム対抗戦 3月:春休み集中精進期間
